,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Autauga County, Alabama",,"54,571","43,297","9,689",258,484,47,796
"Baldwin County, Alabama",,"182,265","159,710","17,274","1,339","1,369",121,"2,452"
"Barbour County, Alabama",,"27,457","13,987","12,941",166,112,47,204
"Bibb County, Alabama",,"22,915","17,549","5,060",68,22,33,183
"Blount County, Alabama",,"57,322","55,368",817,351,125,63,598
"Bullock County, Alabama",,"10,914","2,868","7,759",87,20,82,98
"Butler County, Alabama",,"20,947","11,442","9,110",63,182,8,142
"Calhoun County, Alabama",,"118,572","90,616","24,547",591,884,113,"1,821"
"Chambers County, Alabama",,"34,215","20,296","13,325",71,182,15,326
"Cherokee County, Alabama",,"25,989","24,231","1,210",136,55,6,351
"Chilton County, Alabama",,"43,643","38,456","4,335",210,146,85,411
"Choctaw County, Alabama",,"13,859","7,757","6,013",18,12,0,59
"Clarke County, Alabama",,"25,833","14,123","11,369",103,79,4,155
"Clay County, Alabama",,"13,932","11,566","2,073",55,25,0,213
"Cleburne County, Alabama",,"14,972","14,242",499,52,23,11,145
"Coffee County, Alabama",,"49,948","38,698","8,467",725,658,230,"1,170"
"Colbert County, Alabama",,"54,428","44,278","8,809",288,238,20,795
"Conecuh County, Alabama",,"13,228","6,852","6,182",44,17,1,132
"Coosa County, Alabama",,"11,539","7,740","3,598",63,16,17,105
"Covington County, Alabama",,"37,765","32,156","4,732",232,158,1,486
"Crenshaw County, Alabama",,"13,906","10,193","3,256",59,196,8,194
"Cullman County, Alabama",,"80,406","77,816",913,466,346,34,831
"Dale County, Alabama",,"50,251","38,093","9,769",401,543,52,"1,393"
"Dallas County, Alabama",,"43,820","12,833","30,465",86,152,11,273
"DeKalb County, Alabama",,"71,109","65,908","1,270","1,557",266,624,"1,484"
"Elmore County, Alabama",,"79,303","61,321","15,985",329,535,85,"1,048"
"Escambia County, Alabama",,"38,319","24,107","12,246","1,298",99,20,549
"Etowah County, Alabama",,"104,430","85,447","15,927",580,738,335,"1,403"
"Fayette County, Alabama",,"17,241","15,008","1,979",63,37,0,154
"Franklin County, Alabama",,"31,704","29,401","1,283",472,79,37,432
"Geneva County, Alabama",,"26,790","23,527","2,561",237,73,15,377
"Greene County, Alabama",,"9,045","1,601","7,373",18,15,0,38
"Hale County, Alabama",,"15,760","6,316","9,310",25,35,1,73
"Henry County, Alabama",,"17,302","12,054","4,970",58,55,2,163
"Houston County, Alabama",,"101,547","72,188","26,342",502,853,61,"1,601"
"Jackson County, Alabama",,"53,227","48,969","1,820",819,225,63,"1,331"
"Jefferson County, Alabama",,"658,466","361,641","278,185","2,400","9,379",474,"6,387"
"Lamar County, Alabama",,"14,564","12,702","1,660",24,6,2,170
"Lauderdale County, Alabama",,"92,709","81,047","9,325",346,730,47,"1,214"
"Lawrence County, Alabama",,"34,339","26,905","3,947","1,998",42,7,"1,440"
"Lee County, Alabama",,"140,247","101,694","32,165",489,"3,766",154,"1,979"
"Limestone County, Alabama",,"82,782","68,962","10,613",720,954,136,"1,397"
"Lowndes County, Alabama",,"11,299","2,868","8,324",25,25,0,57
"Macon County, Alabama",,"21,452","3,341","17,773",29,76,3,230
"Madison County, Alabama",,"334,811","234,267","81,326","2,884","8,433",441,"7,460"
"Marengo County, Alabama",,"21,027","9,856","10,900",39,53,37,142
"Marion County, Alabama",,"30,776","29,107","1,194",103,57,17,298
"Marshall County, Alabama",,"93,019","87,993","1,768","1,115",518,225,"1,400"
"Mobile County, Alabama",,"412,992","252,105","143,564","3,923","7,732",254,"5,414"
"Monroe County, Alabama",,"23,068","12,778","9,628",263,70,9,320
"Montgomery County, Alabama",,"229,363","94,706","126,005",774,"4,935",276,"2,667"
"Morgan County, Alabama",,"119,490","100,728","14,493","1,317",733,154,"2,065"
"Perry County, Alabama",,"10,591","3,217","7,282",17,30,5,40
"Pickens County, Alabama",,"19,746","11,231","8,223",28,36,71,157
"Pike County, Alabama",,"32,899","19,444","12,096",198,662,39,460
"Randolph County, Alabama",,"22,913","17,886","4,613",91,63,10,250
"Russell County, Alabama",,"52,947","29,075","22,275",243,245,128,981
"St. Clair County, Alabama",,"83,593","74,521","7,181",304,536,57,994
"Shelby County, Alabama",,"195,085","167,231","20,979",694,"3,870",111,"2,200"
"Sumter County, Alabama",,"13,763","3,349","10,320",11,33,4,46
"Talladega County, Alabama",,"82,291","54,457","26,171",290,349,6,"1,018"
"Tallapoosa County, Alabama",,"41,616","29,678","11,177",134,205,15,407
"Tuscaloosa County, Alabama",,"194,656","131,909","57,837",626,"2,343",143,"1,798"
"Walker County, Alabama",,"67,023","61,730","3,945",285,213,66,784
"Washington County, Alabama",,"17,581","11,551","4,387","1,429",20,14,180
"Wilcox County, Alabama",,"11,670","3,132","8,469",14,4,2,49
"Winston County, Alabama",,"24,484","23,752",121,200,68,49,294
"Aleutians East Borough, Alaska",,"3,141",761,223,882,"1,143",19,113
"Aleutians West Census Area, Alaska",,"5,561","2,306",348,880,"1,669",107,251
"Anchorage Municipality, Alaska",,"291,826","198,531","17,125","23,875","24,034","6,097","22,164"
"Bethel Census Area, Alaska",,"17,013","1,926",66,"14,125",161,31,704
"Bristol Bay Borough, Alaska",,997,485,0,334,8,3,167
"Denali Borough, Alaska",,"1,826","1,657",10,65,19,1,74
"Dillingham Census Area, Alaska",,"4,847",886,11,"3,480",34,6,430
"Fairbanks North Star Borough, Alaska",,"97,581","76,603","4,598","7,025","2,678",413,"6,264"
"Haines Borough, Alaska",,"2,508","2,106",10,235,14,0,143
"Hoonah-Angoon Census Area, Alaska",,"2,150","1,017",8,894,12,1,218
"Juneau City and Borough, Alaska",,"31,275","22,135",291,"3,772","1,937",219,"2,921"
"Kenai Peninsula Borough, Alaska",,"55,400","47,235",288,"4,133",647,130,"2,967"
"Ketchikan Gateway Borough, Alaska",,"13,477","9,294",79,"1,935",944,27,"1,198"
"Kodiak Island Borough, Alaska",,"13,592","7,884",97,"1,847","2,692",94,978
"Lake and Peninsula Borough, Alaska",,"1,631",383,9,"1,064",6,5,164
"Matanuska-Susitna Borough, Alaska",,"88,995","76,335",891,"4,974","1,128",224,"5,443"
"Nome Census Area, Alaska",,"9,492","1,565",29,"7,219",98,9,572
"North Slope Borough, Alaska",,"9,430","3,190",96,"5,129",436,104,475
"Northwest Arctic Borough, Alaska",,"7,523",859,38,"6,130",42,12,442
"Petersburg Borough, Alaska",,"3,815","2,746",15,624,100,7,323
"Prince of Wales-Hyder Census Area, Alaska",,"5,559","2,820",18,"2,212",22,21,466
"Sitka City and Borough, Alaska",,"8,881","5,883",47,"1,549",536,30,836
"Skagway Municipality, Alaska",,968,890,1,35,5,1,36
"Southeast Fairbanks Census Area, Alaska",,"7,029","5,717",78,821,64,27,322
"Valdez-Cordova Census Area, Alaska",,"9,636","7,199",48,"1,323",361,55,650
"Wade Hampton Census Area, Alaska",,"7,459",204,1,"7,086",18,0,150
"Wrangell City and Borough, Alaska",,"2,369","1,727",4,384,33,1,220
"Yakutat City and Borough, Alaska",,662,281,2,238,27,12,102
"Yukon-Koyukuk Census Area, Alaska",,"5,588","1,248",10,"3,998",14,6,312
"Apache County, Arizona",,"71,518","17,562",182,"52,342",223,26,"1,183"
"Cochise County, Arizona",,"131,346","116,276","5,834","2,160","2,691",492,"3,893"
"Coconino County, Arizona",,"134,421","89,628","1,787","37,500","1,938",202,"3,366"
"Gila County, Arizona",,"53,597","44,188",265,"8,064",289,52,739
"Graham County, Arizona",,"37,220","30,117",749,"5,483",223,73,575
"Greenlee County, Arizona",,"8,437","7,857",106,255,58,8,153
"La Paz County, Arizona",,"20,489","16,189",157,"3,426",131,16,570
"Maricopa County, Arizona",,"3,817,117","3,268,366","205,732","99,663","140,285","10,115","92,956"
"Mohave County, Arizona",,"200,186","186,021","2,027","5,328","2,237",431,"4,142"
"Navajo County, Arizona",,"107,449","56,613","1,005","47,097",614,96,"2,024"
"Pima County, Arizona",,"980,263","846,385","38,246","40,457","27,513","2,098","25,564"
"Pinal County, Arizona",,"375,770","313,816","18,468","24,871","7,240","1,760","9,615"
"Santa Cruz County, Arizona",,"47,420","46,061",253,507,318,37,244
"Yavapai County, Arizona",,"211,033","199,180","1,433","4,131","1,887",256,"4,146"
"Yuma County, Arizona",,"195,751","180,224","4,661","3,994","2,809",450,"3,613"
"Arkansas County, Arkansas",,"19,019","13,954","4,705",41,92,2,225
"Ashley County, Arkansas",,"21,853","15,763","5,689",130,47,16,208
"Baxter County, Arkansas",,"41,513","40,469",67,243,170,18,546
"Benton County, Arkansas",,"221,339","201,878","3,169","4,305","6,629",775,"4,583"
"Boone County, Arkansas",,"36,903","35,759",89,267,157,22,609
"Bradley County, Arkansas",,"11,508","7,958","3,206",170,39,1,134
"Calhoun County, Arkansas",,"5,368","4,079","1,197",20,11,1,60
"Carroll County, Arkansas",,"27,446","26,300",128,287,178,77,476
"Chicot County, Arkansas",,"11,800","5,193","6,436",36,60,4,71
"Clark County, Arkansas",,"22,995","16,994","5,441",122,129,5,304
