,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Autauga County, Alabama",,"20,304","1,233","1,235",852,990,"1,077","1,425","1,098","1,063",777,"1,756","2,039","2,532","2,296",916,629,386
"Baldwin County, Alabama",,"73,058","4,912","3,653","4,452","4,412","4,147","3,427","3,897","4,281","3,202","6,295","7,486","8,861","4,941","3,391","3,023","2,678"
"Barbour County, Alabama",,"9,145","1,145",995,723,729,499,398,548,498,401,720,813,785,383,202,245,61
"Bibb County, Alabama",,"7,078",533,448,682,588,455,573,464,535,265,557,543,755,329,174,134,43
"Blount County, Alabama",,"20,934","1,724","1,210","1,263","1,281","1,305","1,467","1,180","1,159","1,007","1,940","2,490","2,276","1,398",523,531,180
"Bullock County, Alabama",,"3,746",621,281,177,377,213,208,140,246,155,375,421,291,103,66,41,31
"Butler County, Alabama",,"8,253","1,088",848,877,626,504,472,483,388,363,650,645,593,411,133,134,38
"Calhoun County, Alabama",,"45,348","5,215","3,400","3,256","2,851","2,654","2,655","2,122","2,647","1,976","4,073","4,101","4,577","2,823","1,356",925,717
"Chambers County, Alabama",,"13,901","1,783","1,430","1,079","1,076",849,"1,034",741,781,640,791,"1,201","1,182",594,328,173,219
"Cherokee County, Alabama",,"11,726","1,261","1,129",766,"1,159",851,699,674,453,487,931,871,"1,147",582,247,311,158
"Chilton County, Alabama",,"16,281","1,478","1,114",896,"1,137","1,056","1,212",909,"1,051",590,"1,016","1,741","1,877",942,572,447,243
"Choctaw County, Alabama",,"5,526",802,485,537,343,343,304,249,218,215,331,504,532,315,123,140,85
"Clarke County, Alabama",,"9,791","1,867",760,768,761,630,402,413,349,508,566,697,914,697,106,191,162
"Clay County, Alabama",,"5,572",654,499,490,418,476,230,363,333,200,503,357,499,307,154,63,26
"Cleburne County, Alabama",,"5,639",550,584,299,432,461,365,289,311,250,412,448,631,259,207,53,88
"Coffee County, Alabama",,"19,086","1,607","1,544","1,136","1,218","1,058","1,015",871,982,861,"1,302","1,625","2,369","1,476",849,839,334
"Colbert County, Alabama",,"22,442","2,470","1,268","1,746","1,649","1,566","1,303","1,242","1,066","1,020","1,877","2,247","2,503","1,187",537,553,208
"Conecuh County, Alabama",,"5,030",909,710,500,440,238,297,166,215,255,333,360,331,142,63,40,31
"Coosa County, Alabama",,"4,446",583,426,361,403,333,222,243,248,170,404,407,358,114,77,71,26
"Covington County, Alabama",,"14,979","1,682","1,128","1,146","1,195","1,099","1,017",759,759,556,"1,357","1,397","1,231",715,452,259,227
"Crenshaw County, Alabama",,"5,424",549,588,401,362,360,312,273,223,362,523,402,545,235,95,87,107
"Cullman County, Alabama",,"31,160","3,302","2,187","2,177","2,389","1,926","2,002","1,820","2,014","1,576","2,267","2,841","3,173","1,548",671,744,523
"Dale County, Alabama",,"19,470","2,041","1,538","1,286",916,962,"1,226",960,905,935,"1,446","2,455","2,387","1,102",482,556,273
"Dallas County, Alabama",,"16,259","3,333","1,514","1,787","1,192","1,071",809,578,800,721,797,"1,070","1,126",658,271,214,318
"DeKalb County, Alabama",,"24,743","2,450","2,072","1,706","1,886","1,861","1,411","1,674","1,337","1,246","2,237","2,482","2,190","1,107",424,345,315
"Elmore County, Alabama",,"28,617","1,750","1,342","1,298","1,474","1,707","1,475","1,529","1,408","1,251","2,436","3,414","4,105","2,564","1,409",828,627
"Escambia County, Alabama",,"13,737","2,014","1,458","1,107","1,288",642,990,737,604,462,"1,045","1,021","1,119",781,155,197,117
"Etowah County, Alabama",,"40,001","3,769","3,361","3,240","3,472","2,574","2,012","2,185","1,832","1,588","3,603","3,984","3,896","2,130","1,048",742,565
"Fayette County, Alabama",,"6,967","1,018",623,610,543,398,440,362,341,415,432,579,702,241,81,71,111
"Franklin County, Alabama",,"12,247","1,358",943,966,"1,157",754,873,730,670,536,788,"1,169","1,212",602,175,154,160
"Geneva County, Alabama",,"10,898","1,003","1,059","1,074",780,772,618,515,704,464,853,898,"1,128",465,275,198,92
"Greene County, Alabama",,"3,282",620,541,309,315,235,123,101,116,271,212,101,177,85,37,24,15
"Hale County, Alabama",,"5,931",975,635,442,458,386,434,255,297,245,459,391,423,204,133,113,81
"Henry County, Alabama",,"6,900",660,649,532,345,389,391,250,375,295,524,782,664,528,192,279,45
"Houston County, Alabama",,"39,464","3,694","2,958","2,890","2,404","2,475","2,527","2,348","1,889","1,682","3,111","3,646","4,102","2,389","1,255","1,079","1,015"
"Jackson County, Alabama",,"20,425","2,109","1,767","1,647","1,556","1,308","1,348","1,416",928,851,"1,609","1,850","1,964",924,493,372,283
"Jefferson County, Alabama",,"259,397","25,939","16,451","16,329","14,868","15,137","13,944","13,380","13,155","9,792","20,219","23,931","27,142","18,523","10,017","10,669","9,901"
"Lamar County, Alabama",,"6,147",740,504,536,271,544,358,453,350,300,584,602,465,206,84,67,83
"Lauderdale County, Alabama",,"38,691","4,265","2,826","2,488","2,409","2,222","2,006","1,955","2,197","1,725","3,399","3,773","4,173","2,266","1,305",944,738
"Lawrence County, Alabama",,"13,312","1,061",922,"1,040",866,"1,160",749,808,668,613,"1,078","1,193","1,599",676,522,263,94
"Lee County, Alabama",,"56,637","7,412","3,943","3,167","3,397","3,035","2,617","2,931","2,410","2,726","4,250","4,557","6,470","4,099","2,288","1,868","1,467"
"Limestone County, Alabama",,"32,156","2,151","1,885","1,909","1,717","1,780","2,010","1,598","1,560","1,679","2,609","2,668","3,947","2,517","1,548","1,651",927
"Lowndes County, Alabama",,"4,287",667,669,439,343,267,139,177,166,211,230,338,266,158,89,53,75
"Macon County, Alabama",,"8,039","1,340",744,688,638,588,406,405,443,330,500,679,650,309,166,114,39
"Madison County, Alabama",,"135,409","9,428","6,982","6,151","6,353","6,900","6,372","6,369","5,919","5,054","9,528","12,877","15,891","13,044","8,501","8,594","7,446"
"Marengo County, Alabama",,"8,477","1,547",558,758,559,405,574,281,479,278,702,676,480,542,248,209,181
"Marion County, Alabama",,"12,602","1,421","1,041",991,"1,077","1,102",850,857,663,488,901,964,848,542,335,252,270
"Marshall County, Alabama",,"34,524","2,848","2,743","2,688","2,844","2,616","2,085","1,657","2,055","1,343","2,544","2,952","3,547","2,006","1,010",806,780
"Mobile County, Alabama",,"154,400","16,329","10,767","10,424","9,503","8,934","8,551","7,225","7,137","6,714","13,640","14,930","16,749","9,906","5,198","4,535","3,858"
"Monroe County, Alabama",,"8,390","1,732",589,862,495,459,476,442,404,413,454,646,765,362,102,143,46
"Montgomery County, Alabama",,"89,143","8,731","6,621","5,663","4,762","4,934","4,429","4,428","5,189","4,038","6,812","7,995","9,600","6,097","3,869","3,079","2,896"
"Morgan County, Alabama",,"45,856","3,633","2,916","2,780","2,971","2,912","2,337","2,585","2,645","1,987","3,867","4,458","5,227","3,434","1,631","1,546",927
"Perry County, Alabama",,"3,263",735,390,244,238,234,275,133,131,69,197,281,150,38,73,43,32
"Pickens County, Alabama",,"7,741","1,369",652,685,645,539,342,443,424,216,708,504,699,330,68,59,58
"Pike County, Alabama",,"12,909","2,021",973,"1,143",946,870,705,534,748,671,800,989,965,627,266,489,162
"Randolph County, Alabama",,"9,016","1,286",797,513,590,572,578,581,497,477,869,879,666,328,239,54,90
"Russell County, Alabama",,"21,568","2,451","1,682","1,762","1,403","1,555","1,615","1,234","1,222",791,"1,516","1,847","2,210","1,114",604,375,187
"St. Clair County, Alabama",,"31,673","2,300","1,743","1,630","1,587","2,431","1,452","1,610","1,050","1,533","2,914","3,887","4,559","2,173","1,208",862,734
"Shelby County, Alabama",,"74,790","2,968","2,274","2,812","3,676","3,139","3,155","2,937","3,429","2,609","5,312","7,720","11,858","7,886","4,965","5,746","4,304"
"Sumter County, Alabama",,"4,962","1,084",740,388,386,230,208,220,223,200,313,374,366,168,18,41,3
"Talladega County, Alabama",,"31,277","3,469","2,807","2,854","2,147","1,949","2,132","1,749","1,699","1,402","2,549","2,570","2,758","1,452",894,533,313
