Geography,Total
"Autauga County, Alabama","1,310"
"Baldwin County, Alabama","7,992"
"Barbour County, Alabama","1,387"
"Bibb County, Alabama",406
"Blount County, Alabama","4,626"
"Bullock County, Alabama",777
"Butler County, Alabama",191
"Calhoun County, Alabama","3,893"
"Chambers County, Alabama",536
"Cherokee County, Alabama",320
"Chilton County, Alabama","3,420"
"Choctaw County, Alabama",73
"Clarke County, Alabama",271
"Clay County, Alabama",399
"Cleburne County, Alabama",307
"Coffee County, Alabama","3,180"
"Colbert County, Alabama","1,093"
"Conecuh County, Alabama",161
"Coosa County, Alabama",230
"Covington County, Alabama",483
"Crenshaw County, Alabama",204
"Cullman County, Alabama","3,454"
"Dale County, Alabama","2,821"
"Dallas County, Alabama",309
"DeKalb County, Alabama","9,690"
"Elmore County, Alabama","2,129"
"Escambia County, Alabama",718
"Etowah County, Alabama","3,447"
"Fayette County, Alabama",204
"Franklin County, Alabama","4,710"
"Geneva County, Alabama",920
"Greene County, Alabama",69
"Hale County, Alabama",140
"Henry County, Alabama",389
"Houston County, Alabama","2,995"
"Jackson County, Alabama","1,339"
"Jefferson County, Alabama","25,488"
"Lamar County, Alabama",180
"Lauderdale County, Alabama","2,082"
"Lawrence County, Alabama",574
"Lee County, Alabama","4,571"
"Limestone County, Alabama","4,591"
"Lowndes County, Alabama",87
"Macon County, Alabama",232
"Madison County, Alabama","15,404"
"Marengo County, Alabama",352
"Marion County, Alabama",632
"Marshall County, Alabama","11,238"
"Mobile County, Alabama","9,936"
"Monroe County, Alabama",220
"Montgomery County, Alabama","8,314"
"Morgan County, Alabama","9,156"
"Perry County, Alabama",114
"Pickens County, Alabama",313
"Pike County, Alabama",730
"Randolph County, Alabama",649
"Russell County, Alabama","1,946"
"St. Clair County, Alabama","1,716"
"Shelby County, Alabama","11,567"
"Sumter County, Alabama",86
"Talladega County, Alabama","1,671"
"Tallapoosa County, Alabama","1,042"
"Tuscaloosa County, Alabama","5,949"
"Walker County, Alabama","1,307"
"Washington County, Alabama",151
"Wilcox County, Alabama",72
"Winston County, Alabama",639
"Aleutians East Borough, Alaska",385
"Aleutians West Census Area, Alaska",726
"Anchorage Municipality, Alaska","22,061"
"Bethel Census Area, Alaska",181
"Bristol Bay Borough, Alaska",24
"Denali Borough, Alaska",42
"Dillingham Census Area, Alaska",101
"Fairbanks North Star Borough, Alaska","5,651"
"Haines Borough, Alaska",47
"Hoonah-Angoon Census Area, Alaska",77
"Juneau City and Borough, Alaska","1,588"
"Kenai Peninsula Borough, Alaska","1,641"
"Ketchikan Gateway Borough, Alaska",538
"Kodiak Island Borough, Alaska",996
"Lake and Peninsula Borough, Alaska",43
"Matanuska-Susitna Borough, Alaska","3,301"
"Nome Census Area, Alaska",115
"North Slope Borough, Alaska",249
"Northwest Arctic Borough, Alaska",58
"Petersburg Borough, Alaska",130
"Prince of Wales-Hyder Census Area, Alaska",127
"Sitka City and Borough, Alaska",437
"Skagway Municipality, Alaska",21
"Southeast Fairbanks Census Area, Alaska",234
"Valdez-Cordova Census Area, Alaska",349
"Wade Hampton Census Area, Alaska",7
"Wrangell City and Borough, Alaska",37
"Yakutat City and Borough, Alaska",17
"Yukon-Koyukuk Census Area, Alaska",66
"Apache County, Arizona","4,113"
"Cochise County, Arizona","42,543"
"Coconino County, Arizona","18,166"
"Gila County, Arizona","9,588"
"Graham County, Arizona","11,320"
"Greenlee County, Arizona","4,040"
"La Paz County, Arizona","4,806"
"Maricopa County, Arizona","1,128,741"
"Mohave County, Arizona","29,569"
"Navajo County, Arizona","11,571"
"Pima County, Arizona","338,802"
"Pinal County, Arizona","106,977"
"Santa Cruz County, Arizona","39,273"
"Yavapai County, Arizona","28,728"
"Yuma County, Arizona","116,912"
"Arkansas County, Arkansas",513
"Ashley County, Arkansas","1,069"
"Baxter County, Arkansas",688
"Benton County, Arkansas","34,283"
"Boone County, Arkansas",674
"Bradley County, Arkansas","1,516"
"Calhoun County, Arkansas",152
"Carroll County, Arkansas","3,489"
"Chicot County, Arkansas",542
"Clark County, Arkansas",926
"Clay County, Arkansas",217
"Cleburne County, Arkansas",517
"Cleveland County, Arkansas",145
"Columbia County, Arkansas",533
"Conway County, Arkansas",757
"Craighead County, Arkansas","4,277"
"Crawford County, Arkansas","3,760"
"Crittenden County, Arkansas","1,014"
"Cross County, Arkansas",266
"Dallas County, Arkansas",188
"Desha County, Arkansas",578
"Drew County, Arkansas",454
"Faulkner County, Arkansas","4,435"
"Franklin County, Arkansas",371
"Fulton County, Arkansas",97
"Garland County, Arkansas","4,622"
"Grant County, Arkansas",392
"Greene County, Arkansas",901
"Hempstead County, Arkansas","2,713"
"Hot Spring County, Arkansas",919
"Howard County, Arkansas","1,349"
"Independence County, Arkansas","2,139"
"Izard County, Arkansas",208
"Jackson County, Arkansas",436
"Jefferson County, Arkansas","1,219"
"Johnson County, Arkansas","3,094"
"Lafayette County, Arkansas",131
"Lawrence County, Arkansas",158
"Lee County, Arkansas",168
"Lincoln County, Arkansas",452
"Little River County, Arkansas",357
"Logan County, Arkansas",510
"Lonoke County, Arkansas","2,246"
"Madison County, Arkansas",759
"Marion County, Arkansas",287
"Miller County, Arkansas","1,038"
"Mississippi County, Arkansas","1,695"
"Monroe County, Arkansas",132
"Montgomery County, Arkansas",361
"Nevada County, Arkansas",220
"Newton County, Arkansas",141
"Ouachita County, Arkansas",408
"Perry County, Arkansas",247
"Phillips County, Arkansas",287
"Pike County, Arkansas",727
"Poinsett County, Arkansas",543
"Polk County, Arkansas","1,190"
"Pope County, Arkansas","4,168"
"Prairie County, Arkansas",81
"Pulaski County, Arkansas","22,168"
"Randolph County, Arkansas",283
"St. Francis County, Arkansas","1,149"
"Saline County, Arkansas","4,087"
"Scott County, Arkansas",782
"Searcy County, Arkansas",121
"Sebastian County, Arkansas","15,445"
"Sevier County, Arkansas","5,220"
"Sharp County, Arkansas",290
"Stone County, Arkansas",157
"Union County, Arkansas","1,460"
"Van Buren County, Arkansas",475
"Washington County, Arkansas","31,458"
"White County, Arkansas","2,879"
"Woodruff County, Arkansas",87
"Yell County, Arkansas","4,230"
"Alameda County, California","339,889"
"Alpine County, California",84
"Amador County, California","4,756"
"Butte County, California","31,116"
"Calaveras County, California","4,703"
"Colusa County, California","11,804"
"Contra Costa County, California","255,560"
"Del Norte County, California","5,093"
"El Dorado County, California","21,875"
"Fresno County, California","468,070"
"Glenn County, California","10,539"
"Humboldt County, California","13,211"
"Imperial County, California","140,271"
"Inyo County, California","3,597"
"Kern County, California","413,033"
"Kings County, California","77,866"
"Lake County, California","11,088"
"Lassen County, California","6,117"
"Los Angeles County, California","4,687,889"
"Madera County, California","80,992"
"Marin County, California","39,069"
"Mariposa County, California","1,676"
"Mendocino County, California","19,505"
"Merced County, California","140,485"
"Modoc County, California","1,342"
"Mono County, California","3,762"
"Monterey County, California","230,003"
"Napa County, California","44,010"
"Nevada County, California","8,439"
"Orange County, California","1,012,973"
"Placer County, California","44,710"
"Plumas County, California","1,605"
"Riverside County, California","995,257"
"Sacramento County, California","306,196"
"San Benito County, California","31,186"
"San Bernardino County, California","1,001,145"
"San Diego County, California","991,348"
"San Francisco County, California","121,774"
"San Joaquin County, California","266,341"
"San Luis Obispo County, California","55,973"
"San Mateo County, California","182,502"
"Santa Barbara County, California","181,687"
"Santa Clara County, California","479,210"
"Santa Cruz County, California","84,092"
"Shasta County, California","14,878"
"Sierra County, California",269
"Siskiyou County, California","4,615"
"Solano County, California","99,356"
"Sonoma County, California","120,430"
"Stanislaus County, California","215,658"
"Sutter County, California","27,251"
"Tehama County, California","13,906"
"Trinity County, California",959
"Tulare County, California","268,065"
"Tuolumne County, California","5,918"
"Ventura County, California","331,567"
"Yolo County, California","60,953"
"Yuba County, California","18,051"
"Adams County, Colorado","167,878"
"Alamosa County, Colorado","7,110"
"Arapahoe County, Colorado","105,522"
"Archuleta County, Colorado","2,148"
"Baca County, Colorado",348
"Bent County, Colorado","1,985"
"Boulder County, Colorado","39,276"
"Broomfield County, Colorado","6,216"
"Chaffee County, Colorado","1,678"
"Cheyenne County, Colorado",178
"Clear Creek County, Colorado",429
"Conejos County, Colorado","4,620"
"Costilla County, Colorado","2,327"
"Crowley County, Colorado","1,686"
"Custer County, Colorado",200
"Delta County, Colorado","4,345"
"Denver County, Colorado","190,965"
"Dolores County, Colorado",82
"Douglas County, Colorado","21,392"
"Eagle County, Colorado","15,689"
"Elbert County, Colorado","1,234"
"El Paso County, Colorado","93,665"
"Fremont County, Colorado","5,770"
"Garfield County, Colorado","15,978"
"Gilpin County, Colorado",267
"Grand County, Colorado","1,116"
"Gunnison County, Colorado","1,255"
"Hinsdale County, Colorado",24
"Huerfano County, Colorado","2,368"
"Jackson County, Colorado",150
"Jefferson County, Colorado","76,445"
"Kiowa County, Colorado",78
"Kit Carson County, Colorado","1,574"
"Lake County, Colorado","2,858"
"La Plata County, Colorado","6,056"
"Larimer County, Colorado","31,628"
"Las Animas County, Colorado","6,446"
"Lincoln County, Colorado",683
"Logan County, Colorado","3,551"
"Mesa County, Colorado","19,552"
"Mineral County, Colorado",21
"Moffat County, Colorado","1,985"
"Montezuma County, Colorado","2,818"
"Montrose County, Colorado","8,127"
"Morgan County, Colorado","9,506"
"Otero County, Colorado","7,596"
"Ouray County, Colorado",196
"Park County, Colorado",783
"Phillips County, Colorado",830
"Pitkin County, Colorado","1,561"
"Prowers County, Colorado","4,417"
"Pueblo County, Colorado","65,811"
"Rio Blanco County, Colorado",665
"Rio Grande County, Colorado","5,086"
"Routt County, Colorado","1,600"
"Saguache County, Colorado","2,452"
"San Juan County, Colorado",84
"San Miguel County, Colorado",630
"Sedgwick County, Colorado",289
"Summit County, Colorado","3,989"
"Teller County, Colorado","1,294"
"Washington County, Colorado",407
"Weld County, Colorado","71,680"
"Yuma County, Colorado","2,088"
"Fairfield County, Connecticut","155,025"
"Hartford County, Connecticut","136,783"
"Litchfield County, Connecticut","8,535"
"Middlesex County, Connecticut","7,834"
"New Haven County, Connecticut","129,743"
"New London County, Connecticut","23,214"
"Tolland County, Connecticut","6,602"
"Windham County, Connecticut","11,351"
"Kent County, Delaware","9,346"
"New Castle County, Delaware","46,921"
"Sussex County, Delaware","16,954"
"District of Columbia, District of Columbia","54,749"
"Alachua County, Florida","20,752"
"Baker County, Florida",520
"Bay County, Florida","8,107"
"Bradford County, Florida","1,020"
"Brevard County, Florida","43,943"
"Broward County, Florida","438,247"
"Calhoun County, Florida",755
"Charlotte County, Florida","9,213"
"Citrus County, Florida","6,584"
"Clay County, Florida","14,609"
"Collier County, Florida","83,177"
"Columbia County, Florida","3,276"
"DeSoto County, Florida","10,425"
"Dixie County, Florida",512
"Duval County, Florida","65,398"
"Escambia County, Florida","14,061"
"Flagler County, Florida","8,251"
"Franklin County, Florida",529
"Gadsden County, Florida","4,419"
"Gilchrist County, Florida",845
"Glades County, Florida","2,720"
"Gulf County, Florida",678
"Hamilton County, Florida","1,306"
"Hardee County, Florida","11,895"
"Hendry County, Florida","19,243"
"Hernando County, Florida","17,796"
"Highlands County, Florida","17,157"
"Hillsborough County, Florida","306,635"
"Holmes County, Florida",444
"Indian River County, Florida","15,465"
"Jackson County, Florida","2,143"
"Jefferson County, Florida",546
"Lafayette County, Florida","1,076"
"Lake County, Florida","36,009"
"Lee County, Florida","113,308"
"Leon County, Florida","15,361"
"Levy County, Florida","3,047"
"Liberty County, Florida",518
"Madison County, Florida",899
"Manatee County, Florida","47,955"
"Marion County, Florida","36,137"
"Martin County, Florida","17,881"
"Miami-Dade County, Florida","1,623,859"
"Monroe County, Florida","15,071"
"Nassau County, Florida","2,380"
"Okaloosa County, Florida","12,296"
"Okeechobee County, Florida","9,561"
"Orange County, Florida","308,244"
"Osceola County, Florida","122,146"
"Palm Beach County, Florida","250,823"
"Pasco County, Florida","54,536"
"Pinellas County, Florida","73,241"
"Polk County, Florida","106,532"
"Putnam County, Florida","6,706"
"St. Johns County, Florida","9,972"
"St. Lucie County, Florida","45,995"
"Santa Rosa County, Florida","6,507"
"Sarasota County, Florida","30,033"
"Seminole County, Florida","72,457"
"Sumter County, Florida","5,582"
"Suwannee County, Florida","3,596"
"Taylor County, Florida",777
"Union County, Florida",743
"Volusia County, Florida","55,217"
"Wakulla County, Florida","1,016"
"Walton County, Florida","2,921"
"Washington County, Florida",733
"Appling County, Georgia","1,704"
"Atkinson County, Georgia","2,039"
"Bacon County, Georgia",791
"Baker County, Georgia",145
"Baldwin County, Georgia",919
"Banks County, Georgia","1,041"
"Barrow County, Georgia","6,037"
"Bartow County, Georgia","7,690"
"Ben Hill County, Georgia","1,026"
"Berrien County, Georgia",885
"Bibb County, Georgia","4,389"
"Bleckley County, Georgia",301
"Brantley County, Georgia",343
"Brooks County, Georgia",853
"Bryan County, Georgia","1,336"
"Bulloch County, Georgia","2,439"
"Burke County, Georgia",617
"Butts County, Georgia",597
"Calhoun County, Georgia",262
"Camden County, Georgia","2,590"
"Candler County, Georgia","1,227"
"Carroll County, Georgia","6,800"
"Catoosa County, Georgia","1,469"
"Charlton County, Georgia",310
"Chatham County, Georgia","14,370"
"Chattahoochee County, Georgia","1,398"
"Chattooga County, Georgia","1,043"
"Cherokee County, Georgia","20,566"
"Clarke County, Georgia","12,192"
"Clay County, Georgia",26
"Clayton County, Georgia","35,447"
"Clinch County, Georgia",236
"Cobb County, Georgia","84,330"
"Coffee County, Georgia","4,352"
"Colquitt County, Georgia","7,763"
"Columbia County, Georgia","6,175"
"Cook County, Georgia","1,024"
"Coweta County, Georgia","8,493"
"Crawford County, Georgia",301
"Crisp County, Georgia",748
"Dade County, Georgia",292
"Dawson County, Georgia",920
"Decatur County, Georgia","1,404"
"DeKalb County, Georgia","67,824"
"Dodge County, Georgia",732
"Dooly County, Georgia",862
"Dougherty County, Georgia","2,073"
"Douglas County, Georgia","11,125"
"Early County, Georgia",171
"Echols County, Georgia","1,183"
"Effingham County, Georgia","1,501"
"Elbert County, Georgia",967
