,wid,vio_type,date_begin,date_end,water_rule,vio_id
0,WA5300250,"Monitoring, Regular",JUL-01-2010<br/>,SEP-30-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Arsenic</a>",10837921005<br/>
1,WA5300250,"Monitoring, Regular",JUL-01-2007<br/>,SEP-30-2007<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Arsenic</a>",07648661005<br/>
0,WA5322525,Follow-up Or Routine LCR Tap M/R,JAN-01-2015<br/>,<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Lead and Copper Rule</a>",1481752<br/>
1,WA5322525,Follow-up Or Routine LCR Tap M/R,JAN-01-2014<br/>,<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Lead and Copper Rule</a>",1323991<br/>
0,WA5301977,"Monitoring, Routine Major (TCR)",MAY-01-2015<br/>,MAY-31-2015<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Microorganisms"" name=""LEFT"">Coliform (TCR)</a>",1568151<br/>
0,WA5334544,"Monitoring, Regular",JAN-01-2015<br/>,DEC-31-2015<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Nitrate</a>",1507749<br/>
0,WA5300410,"Monitoring, Repeat Major (TCR)",AUG-01-2014<br/>,AUG-31-2014<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Microorganisms"" name=""LEFT"">Coliform (TCR)</a>",1448388<br/>
1,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Vinyl chloride</a>",13515422976<br/>
2,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Styrene</a>",13515422996<br/>
3,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Bromobenzene</a>",13515422993<br/>
4,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Ethylbenzene</a>",13515422992<br/>
5,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Toluene</a>",13515422991<br/>
6,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Benzene</a>",13515422990<br/>
7,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">CHLOROBENZENE</a>",13515422989<br/>
8,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Tetrachloroethylene</a>",13515422987<br/>
9,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Chloromethane</a>",13515422210<br/>
10,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Bromomethane</a>",13515422214<br/>
11,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,2,4-Trichlorobenzene</a>",13515422378<br/>
12,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">cis-1,2-Dichloroethylene</a>",13515422380<br/>
13,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">DICHLOROMETHANE</a>",13515422964<br/>
14,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">o-Chlorotoluene</a>",13515422965<br/>
15,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">o-Dichlorobenzene</a>",13515422968<br/>
16,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">p-Dichlorobenzene</a>",13515422969<br/>
17,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,1-Dichloroethylene</a>",13515422977<br/>
18,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">1,1-Dichloroethane</a>",13515422978<br/>
19,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">trans-1,2-Dichloroethylene</a>",13515422979<br/>
20,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,2-Dichloroethane</a>",13515422980<br/>
21,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,1,1-Trichloroethane</a>",13515422981<br/>
22,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Carbon tetrachloride</a>",13515422982<br/>
23,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,2-Dichloropropane</a>",13515422983<br/>
24,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Trichloroethylene</a>",13515422984<br/>
25,WA5300410,"Monitoring, Regular",JAN-01-2011<br/>,MAR-31-2011<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">1,1,2-Trichloroethane</a>",13515422985<br/>
26,WA5300410,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Aldicarb</a>",10694892047<br/>
27,WA5300410,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Carbofuran</a>",10694892046<br/>
28,WA5300410,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Aldicarb sulfone</a>",10694892044<br/>
29,WA5300410,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Aldicarb sulfoxide</a>",10694892043<br/>
30,WA5300410,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">OXAMYL</a>",10694892036<br/>
31,WA5300410,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Methomyl</a>",10694892022<br/>
32,WA5300410,"Monitoring, Regular",JAN-01-2008<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Carbaryl</a>",10694892021<br/>
33,WA5300410,"Monitoring, Regular",JAN-01-2005<br/>,DEC-31-2007<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Organic"" name=""LEFT"">Diquat</a>",07398492032<br/>
0,WA5300515,"Monitoring, Regular",JAN-01-2002<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Arsenic</a>",10762841005<br/>
1,WA5300515,"Monitoring, Regular",JAN-01-2002<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Zinc</a>",10762841095<br/>
2,WA5300515,"Monitoring, Regular",JAN-01-2002<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Cadmium</a>",10762841015<br/>
3,WA5300515,"Monitoring, Regular",JAN-01-2002<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants"" name=""LEFT"">Chloride</a>",10762841017<br/>
4,WA5300515,"Monitoring, Regular",JAN-01-2002<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">Chromium</a>",10762841020<br/>
5,WA5300515,"Monitoring, Regular",JAN-01-2002<br/>,DEC-31-2010<br/>,"<a href=""https://www.epa.gov/your-drinking-water/table-regulated-drinking-water-contaminants#Inorganic"" name=""LEFT"">CYANIDE</a>",10762841024<br/>
