wid,state,county,population,watertype,health,reporting,length,analytics,lead,e_coli,coliform,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,unknown/old
AK2110318,AK,JUNEAU CITY AND BOROUGH,250,Ground water,1,6,85.5,0,1,0,5,0,1,2,0,0,0,1,0,1,1,0,1
AK2110342,AK,JUNEAU CITY AND BOROUGH,64680,Surface water,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AK2110449,AK,JUNEAU CITY AND BOROUGH,180,Ground water,0,31,271.7931034,0,2,0,8,0,20,0,0,1,2,2,0,2,3,0,1
AK2110562,AK,HAINES BOROUGH,113,Groundwater under influence of surface water,1,13,144.0769231,0,0,0,2,0,0,2,0,3,0,0,0,5,4,0,0
AK2110601,AK,NOT REPORTED,12300,Ground water,6,123,1069.937985,0,0,0,15,3,35,1,0,24,1,22,0,4,4,0,35
AK2110619,AK,HAINES BOROUGH,1613,Surface water,1,24,50,0,0,0,4,0,0,5,5,2,4,0,5,1,3,0,0
AK2111457,AK,HAINES BOROUGH,465,Ground water,0,7,60,0,1,0,3,0,0,0,3,4,0,0,0,0,0,0,0
AK2120012,AK,KETCHIKAN GATEWAY BOROUGH,225,Surface water,34,220,336.6666667,0.19584375,7,0,9,10,36,9,8,24,9,30,41,35,41,0,11
AK2120127,AK,KETCHIKAN GATEWAY BOROUGH,450,Surface water,47,7,75.43396226,0.159769231,0,0,2,4,7,7,13,6,7,2,2,1,5,0,0
AK2120143,AK,NOT REPORTED,2300,Surface water,3,5,49.66666667,0.068,4,0,0,0,2,4,1,0,0,0,0,0,1,0,0
AK2120169,AK,NOT REPORTED,904,Surface water,13,176,350.8770053,0.09,2,0,9,6,15,3,2,9,41,10,28,17,47,0,11
AK2120193,AK,NOT REPORTED,1475,Surface water,1,9,56.66666667,0.081,0,0,1,3,0,0,0,2,3,0,2,0,0,0,0
AK2120216,AK,NOT REPORTED,775,Surface water,62,76,112.8676471,0.162,2,0,3,7,9,15,10,16,13,19,12,5,31,0,1
AK2120224,AK,NOT REPORTED,415,Surface water,36,305,135.8537313,0.0981875,6,0,23,44,41,50,26,26,17,36,23,29,49,0,0
AK2120232,AK,KETCHIKAN GATEWAY BOROUGH,8980,Surface water,29,4,88.51515152,0.090678571,0,0,0,2,7,1,2,4,5,4,3,4,1,0,0
AK2120436,AK,NOT REPORTED,199,Surface water,11,210,318.8727273,0.095222222,0,0,25,3,28,13,30,21,52,37,11,11,4,0,11
AK2120606,AK,KETCHIKAN GATEWAY BOROUGH,46,Surface water,40,154,120.6822917,0.1779375,1,0,12,26,37,7,0,7,2,26,13,49,26,0,1
AK2121123,AK,KETCHIKAN GATEWAY BOROUGH,60,Ground water,0,45,577.4318182,0,1,0,20,2,2,2,2,1,3,26,2,3,2,0,0
AK2121438,AK,KETCHIKAN GATEWAY BOROUGH,25,Surface water purchased,0,132,58.52272727,0,0,0,87,0,5,12,20,19,14,15,12,14,21,0,0
AK2121479,AK,KETCHIKAN GATEWAY BOROUGH,25,Surface water purchased,1,26,72.25925926,0,0,0,17,0,3,6,0,0,0,0,4,6,8,0,0
AK2121510,AK,KETCHIKAN GATEWAY BOROUGH,975,Surface water,4,10,33.85714286,0,0,0,1,0,0,0,0,0,1,3,7,0,3,0,0
AK2121514,AK,KETCHIKAN GATEWAY BOROUGH,25,Surface water purchased,0,19,99.89473684,0,0,0,15,0,0,0,0,0,0,0,0,12,7,0,0
AK2130017,AK,NOT REPORTED,450,Surface water,56,226,254.688172,1.932882353,3,0,26,13,57,20,24,37,22,31,11,14,42,0,11
AK2130067,AK,NOT REPORTED,980,Surface water,0,5,108.2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
AK2130083,AK,NOT REPORTED,415,Surface water,36,151,302.4972067,3.884558824,7,0,13,28,33,12,7,36,9,10,16,9,15,0,12
AK2130122,AK,NOT REPORTED,230,Surface water,7,33,109.9487179,0,0,0,2,3,1,3,22,5,0,2,0,2,2,0,0
AK2130148,AK,NOT REPORTED,3350,Surface water,0,3,70.33333333,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
AK2130156,AK,SITKA CITY AND BOROUGH,95,Surface water,20,149,47.0875,11.02115385,8,0,28,2,13,11,10,5,13,16,20,24,55,0,0
